lsoa11name,WIMD ,Income ,Employment ,Health ,Education ,Access to Services ,Community Safety ,Physical Environment ,Housing 
Holyhead Town ,1,1,1,1,1,4,1,4,2
London Road ,1,1,1,2,2,3,1,5,3
Maeshyfryd ,1,1,1,1,1,3,2,5,3
Morawelon ,1,1,1,1,1,2,1,5,5
Porthyfelin 1 ,1,1,1,2,1,3,1,5,3
Tudur ,1,1,1,2,1,1,1,5,4
Amlwch Port ,2,2,2,2,2,3,2,5,3
Llannerch-y-medd ,2,3,3,3,3,1,5,4,1
Kingsland ,2,1,2,2,1,3,1,5,3
Rhosyr ,2,3,3,3,2,1,4,5,2
Amlwch Rural ,3,3,3,4,3,1,4,5,4
Llanbadrig ,3,2,3,4,3,4,4,5,3
Mechell ,3,3,3,4,4,1,5,5,1
Porthyfelin 2 ,3,2,2,3,2,4,3,5,5
Llanfaethlu ,3,3,4,3,3,1,4,5,1
Valley 1 ,3,2,3,3,2,4,3,2,5
Aberffraw & Rhosneigr 1 ,3,3,2,4,3,1,3,5,3
Bryngwran ,3,3,3,3,3,1,4,5,1
Llanfair-yn-Neubwll 1 ,3,3,4,2,3,1,4,5,3
Llanfair-yn-Neubwll 2 ,3,3,4,4,3,1,3,5,2
Llaneilian ,3,3,3,4,4,1,5,5,2
Moelfre ,3,3,3,4,3,1,5,5,3
Beaumaris ,3,3,4,4,1,4,3,4,3
Llangoed ,3,3,3,3,3,1,5,5,3
Pentraeth ,3,3,4,4,4,1,4,5,1
Bodffordd ,3,4,3,4,4,1,4,5,2
Bodorgan ,3,4,4,4,4,1,4,5,1
Llanidan ,3,3,4,3,3,1,4,5,1
Parc a'r Mynydd ,4,3,3,4,3,2,2,5,5
Trearddur 1 ,4,4,5,4,5,1,4,3,4
Trearddur 2 ,4,4,4,4,5,1,3,4,3
Aberffraw & Rhosneigr 2 ,4,3,4,4,5,2,5,5,1
Llanddyfnan ,4,5,4,5,5,1,5,5,2
Llanbedrgoch ,4,4,3,4,2,3,4,3,4
Cefni ,4,4,4,3,4,5,2,5,5
Cyngar ,4,3,3,3,4,4,2,5,5
Cadnant (Isle of Anglesey) ,4,4,4,5,5,5,1,5,1
Tysilio ,4,4,4,4,4,3,3,5,4
Llanfihangel Ysgeifiog ,4,4,4,4,4,2,3,4,3
Valley 2 ,5,5,4,4,5,3,5,4,5
Brynteg ,5,4,4,5,4,4,5,5,4
Cwm Cadnant ,5,5,5,5,5,2,5,5,5
Braint ,5,5,5,5,5,5,5,5,4
Gwyngyll ,5,4,4,3,5,5,5,4,5
Marchog 2 ,1,1,1,1,1,2,1,5,4
Marchog 1 ,1,1,2,1,1,1,2,5,3
Cadnant (Gwynedd) ,1,1,1,2,2,2,1,5,2
Peblig (Caernarfon) ,1,1,1,1,1,1,1,5,2
Hendre (Gwynedd) ,2,3,3,2,2,2,1,5,1
Deiniolen ,2,2,3,3,4,1,2,4,1
Seiont 2 ,2,2,2,3,2,2,1,5,2
Llanllyfni & Clynnog ,2,3,4,4,4,1,3,4,1
Talysarn ,2,2,3,3,3,1,3,4,1
Bowydd and Rhiw ,2,2,2,2,2,2,1,4,1
Diffwys and Maenofferen ,2,2,2,3,2,4,2,3,1
Llangelynin ,2,3,2,3,3,1,4,3,2
Tywyn 2 ,2,2,2,2,2,3,4,2,3
Deiniol ,3,4,5,3,3,1,1,4,1
Hirael & Garth 1 ,3,4,4,5,2,4,1,5,1
Hirael & Garth 2 ,3,3,4,3,3,3,2,1,1
Dewi ,3,3,3,3,4,3,2,4,2
Arllechwedd ,3,3,3,4,4,1,2,3,1
Gerlan ,3,3,3,3,4,2,4,5,1
Ogwen 1 ,3,2,3,3,3,2,2,4,3
Ogwen 2 ,3,2,2,3,4,4,2,4,2
Pentir 2 ,3,3,3,4,4,1,3,5,3
