,WIMD ,Income ,Employment ,Health ,Education ,Access to Services ,Community Safety ,Physical Environment ,Housing 
Amlwch Port ,550,414,420,676,615,767,667,1776,766
Amlwch Rural ,1100,1122,1004,1311,787,265,1284,1827,1229
Llanbadrig ,1145,759,815,1159,972,1345,1337,1829,1081
Llannerch-y-medd ,727,858,940,1090,865,90,1593,1318,237
Mechell ,864,878,842,1322,1194,131,1683,1700,305
Holyhead Town ,168,103,113,357,339,1198,40,1201,406
Kingsland ,486,302,554,670,314,928,369,1736,1079
London Road ,366,246,210,450,525,1029,378,1844,900
Maeshyfryd ,353,247,287,347,377,778,553,1837,1020
Morawelon ,224,198,178,263,338,387,116,1899,1541
Porthyfelin 1 ,316,230,196,583,292,1021,251,1540,954
Porthyfelin 2 ,974,730,730,935,589,1291,860,1904,1712
Llanfaethlu ,857,961,1234,1093,932,109,1349,1619,231
Parc a'r Mynydd ,1196,974,1038,1190,841,747,608,1887,1818
Trearddur 1 ,1409,1431,1632,1314,1692,168,1458,1078,1219
Trearddur 2 ,1325,1389,1393,1397,1663,192,1031,1161,881
Valley 1 ,915,590,894,833,730,1178,949,621,1781
Valley 2 ,1716,1658,1511,1518,1592,862,1876,1506,1668
Aberffraw & Rhosneigr 1 ,885,898,659,1213,1057,221,914,1859,935
Aberffraw & Rhosneigr 2 ,1324,1045,1272,1307,1591,693,1613,1894,309
Bryngwran ,819,808,768,992,945,324,1341,1616,348
Llanfair-yn-Neubwll 1 ,985,877,1162,685,810,379,1388,1763,1145
Llanfair-yn-Neubwll 2 ,1050,989,1224,1264,1012,255,782,1857,612
Brynteg ,1624,1354,1319,1609,1315,1165,1624,1673,1443
Llanddyfnan ,1424,1578,1479,1597,1633,153,1537,1880,718
Llaneilian ,1044,1082,988,1163,1300,193,1690,1591,576
Moelfre ,1053,879,875,1392,917,330,1728,1703,1088
Beaumaris ,1065,917,1216,1430,336,1207,796,1510,786
Cwm Cadnant ,1777,1749,1615,1827,1761,750,1753,1828,1648
Llanbedrgoch ,1233,1264,1055,1216,630,968,1317,989,1155
Llangoed ,946,976,830,1133,858,183,1766,1793,1022
Pentraeth ,1087,1136,1215,1326,1325,173,1470,1662,346
Bodffordd ,1116,1246,1003,1151,1203,251,1459,1881,571
Cefni ,1494,1280,1231,1031,1521,1540,404,1846,1801
Cyngar ,1194,926,795,1027,1364,1172,543,1726,1554
Tudur ,308,188,367,454,325,282,323,1818,1307
Braint ,1820,1541,1647,1554,1756,1797,1740,1607,1453
Cadnant (Isle of Anglesey) ,1377,1395,1189,1773,1565,1850,87,1710,265
Gwyngyll ,1704,1528,1425,1081,1689,1786,1589,1409,1770
Tysilio ,1442,1161,1198,1223,1270,1139,792,1854,1344
Bodorgan ,1036,1165,1178,1441,1321,211,1332,1633,136
