LSOA,Local Authority (LA) Name
W01000001,Isle of Anglesey
W01000002,Isle of Anglesey
W01000003,Isle of Anglesey
W01000004,Isle of Anglesey
W01000005,Isle of Anglesey
W01000006,Isle of Anglesey
W01000007,Isle of Anglesey
W01000008,Isle of Anglesey
W01000009,Isle of Anglesey
W01000010,Isle of Anglesey
W01000011,Isle of Anglesey
W01000012,Isle of Anglesey
W01000013,Isle of Anglesey
W01000014,Isle of Anglesey
W01000015,Isle of Anglesey
W01000016,Isle of Anglesey
W01000017,Isle of Anglesey
W01000018,Isle of Anglesey
W01000019,Isle of Anglesey
W01000020,Isle of Anglesey
W01000021,Isle of Anglesey
W01000022,Isle of Anglesey
W01000023,Isle of Anglesey
W01000024,Isle of Anglesey
W01000025,Isle of Anglesey
W01000026,Isle of Anglesey
W01000027,Isle of Anglesey
W01000028,Isle of Anglesey
W01000029,Isle of Anglesey
W01000030,Isle of Anglesey
W01000031,Isle of Anglesey
W01000032,Isle of Anglesey
W01000033,Isle of Anglesey
W01000034,Isle of Anglesey
W01000035,Isle of Anglesey
W01000036,Isle of Anglesey
W01000037,Isle of Anglesey
W01000038,Isle of Anglesey
W01000039,Isle of Anglesey
W01000040,Isle of Anglesey
W01000041,Isle of Anglesey
W01000042,Isle of Anglesey
W01000043,Isle of Anglesey
W01000044,Isle of Anglesey
W01000047,Gwynedd
W01000048,Gwynedd
W01000049,Gwynedd
W01000050,Gwynedd
W01000051,Gwynedd
W01000052,Gwynedd
W01000053,Gwynedd
W01000054,Gwynedd
W01000056,Gwynedd
W01000057,Gwynedd
W01000059,Gwynedd
W01000060,Gwynedd
W01000061,Gwynedd
W01000062,Gwynedd
W01000063,Gwynedd
W01000064,Gwynedd
W01000065,Gwynedd
W01000066,Gwynedd
W01000067,Gwynedd
W01000068,Gwynedd
W01000069,Gwynedd
W01000070,Gwynedd
W01000071,Gwynedd
W01000072,Gwynedd
W01000073,Gwynedd
W01000074,Gwynedd
W01000075,Gwynedd
W01000076,Gwynedd
W01000077,Gwynedd
W01000078,Gwynedd
W01000079,Gwynedd
W01000080,Gwynedd
W01000081,Gwynedd
W01000082,Gwynedd
W01000083,Gwynedd
W01000084,Gwynedd
W01000085,Gwynedd
W01000086,Gwynedd
W01000087,Gwynedd
W01000088,Gwynedd
W01000089,Gwynedd
W01000090,Gwynedd
W01000091,Gwynedd
W01000092,Gwynedd
W01000093,Gwynedd
W01000094,Gwynedd
W01000095,Gwynedd
W01000096,Gwynedd
W01000097,Gwynedd
W01000098,Gwynedd
W01000099,Gwynedd
W01000100,Gwynedd
W01000101,Gwynedd
W01000102,Gwynedd
W01000103,Gwynedd
W01000104,Gwynedd
W01000105,Gwynedd
W01000106,Gwynedd
W01000107,Gwynedd
W01000108,Gwynedd
W01000109,Gwynedd
W01000110,Gwynedd
W01000111,Gwynedd
W01000112,Gwynedd
W01000113,Gwynedd
W01000114,Gwynedd
W01000115,Gwynedd
W01000116,Gwynedd
W01000117,Gwynedd
W01000118,Gwynedd
W01000119,Gwynedd
W01000121,Conwy
W01000122,Conwy
W01000123,Conwy
W01000124,Conwy
W01000125,Conwy
W01000126,Conwy
W01000127,Conwy
W01000128,Conwy
W01000129,Conwy
W01000130,Conwy
W01000131,Conwy
W01000132,Conwy
W01000133,Conwy
W01000134,Conwy
W01000135,Conwy
W01000136,Conwy
W01000137,Conwy
W01000138,Conwy
W01000139,Conwy
W01000140,Conwy
W01000141,Conwy
W01000142,Conwy
W01000143,Conwy
W01000144,Conwy
W01000145,Conwy
W01000146,Conwy
W01000147,Conwy
W01000148,Conwy
W01000149,Conwy
W01000150,Conwy
W01000151,Conwy
W01000152,Conwy
W01000153,Conwy
W01000154,Conwy
W01000155,Conwy
W01000156,Conwy
W01000157,Conwy
W01000158,Conwy
W01000159,Conwy
W01000162,Conwy
W01000163,Conwy
W01000164,Conwy
W01000165,Conwy
W01000166,Conwy
W01000167,Conwy
W01000168,Conwy
W01000169,Conwy
W01000170,Conwy
W01000171,Conwy
W01000172,Conwy
W01000173,Conwy
W01000174,Conwy
W01000175,Conwy
W01000176,Conwy
W01000177,Conwy
W01000178,Conwy
W01000179,Conwy
W01000180,Conwy
W01000181,Conwy
W01000182,Conwy
W01000183,Conwy
W01000184,Conwy
W01000185,Conwy
W01000186,Conwy
W01000187,Conwy
W01000188,Conwy
W01000189,Conwy
W01000190,Conwy
W01000191,Denbighshire
W01000192,Denbighshire
W01000193,Denbighshire
W01000194,Denbighshire
W01000195,Denbighshire
W01000196,Denbighshire
W01000197,Denbighshire
W01000198,Denbighshire
W01000199,Denbighshire
W01000200,Denbighshire
W01000201,Denbighshire
W01000202,Denbighshire
W01000203,Denbighshire
W01000204,Denbighshire
W01000205,Denbighshire
W01000206,Denbighshire
W01000207,Denbighshire
W01000208,Denbighshire
W01000209,Denbighshire
W01000210,Denbighshire
W01000211,Denbighshire
W01000212,Denbighshire
W01000213,Denbighshire
W01000214,Denbighshire
W01000215,Denbighshire
W01000216,Denbighshire
W01000217,Denbighshire
W01000218,Denbighshire
W01000219,Denbighshire
W01000220,Denbighshire
W01000221,Denbighshire
W01000222,Denbighshire
W01000223,Denbighshire
W01000224,Denbighshire
W01000225,Denbighshire
W01000226,Denbighshire
W01000227,Denbighshire
W01000228,Denbighshire
W01000229,Denbighshire
W01000230,Denbighshire
W01000231,Denbighshire
W01000232,Denbighshire
W01000233,Denbighshire
W01000234,Denbighshire
W01000235,Denbighshire
W01000236,Denbighshire
W01000237,Denbighshire
W01000238,Denbighshire
W01000239,Denbighshire
W01000240,Denbighshire
W01000241,Denbighshire
W01000242,Denbighshire
W01000243,Denbighshire
W01000244,Denbighshire
W01000245,Denbighshire
W01000246,Denbighshire
W01000247,Denbighshire
W01000248,Denbighshire
W01000249,Flintshire
W01000250,Flintshire
W01000251,Flintshire
W01000252,Flintshire
W01000253,Flintshire
W01000254,Flintshire
W01000255,Flintshire
W01000256,Flintshire
W01000257,Flintshire
W01000258,Flintshire
W01000259,Flintshire
W01000260,Flintshire
W01000261,Flintshire
W01000262,Flintshire
W01000263,Flintshire
W01000264,Flintshire
W01000265,Flintshire
W01000266,Flintshire
W01000267,Flintshire
W01000268,Flintshire
W01000269,Flintshire
W01000270,Flintshire
W01000271,Flintshire
W01000272,Flintshire
W01000273,Flintshire
W01000274,Flintshire
W01000275,Flintshire
W01000276,Flintshire
W01000277,Flintshire
W01000278,Flintshire
W01000279,Flintshire
W01000280,Flintshire
W01000281,Flintshire
W01000282,Flintshire
W01000283,Flintshire
W01000284,Flintshire
W01000285,Flintshire
W01000286,Flintshire
W01000287,Flintshire
